Country Name,HDI,CT,SMR,W-NP,GDP,TS,M-Imp,M-Exp,EB-GS,PSE,SSE,HE/c,IM-DPT,MR<5
Norway,0.948,0,10.9,39.6,1.918819526,21.45621436,13987456201.00,139483491058.00,5.42558573,99.88796234,112.9892426,3000,93,2.8
Switzerland,0.938,0,15.1,31,1.996886159,27,14000000000.00,139483491058.00,11.71369448,93.77429962,101.2139664,3000,96,4.2
Australia,0.937,0,11.8,26,2.60945748,8.100828348,1391238031.00,101473457483.59,-1.446182351,97.04311371,85.94788962,2989,92,4
Germany,0.924,0,13.4,36.5,1.595338098,16.2061757,1247895244.00,100251110035.63,7.568500603,98.63278198,102.6653976,2974,95,3.9
Singapore,0.924,0,9.9,25.3,3.572267228,101.5195483,13987542100.00,12299666000.00,15,90.66306105,85.94788962,2752.320439,96,2.7
Ireland,0.92,0,11.7,15.7,8.462361941,108.6067561,14000000000.00,121946203400.00,19,94.72686005,120,2945,96,3.8
Canada,0.919,0,12.3,25.1,2.565299274,11.09455461,14000000000.00,100251110035.63,-2.389495885,90.66306105,85.94788962,2810,91,5.2
Iceland,0.919,0,13.1,39.7,1.925143976,27,5374671000.00,5052569000.00,7.525272279,90.66306105,85.94788962,2900,90,2.3
United States,0.918,0,14.3,19.3,2.370457671,7.040296375,2103548120.00,139483491058.00,-2.893946813,93.09829712,85.94788962,3000,95,6.8
New Zealand,0.913,0,12.6,29.8,3.404535318,13.75896861,3598740000.00,41622108000.00,0.709022661,98.42878723,116.5915909,2150,93,5.7
Sweden,0.909,0,15.4,44.7,2.604326565,25.41897601,1622529340.00,100251110035.63,4.746642214,99.47046661,120,2965,98,2.9
United Kingdom,0.908,0,8.5,22.6,3.070483794,19.28523306,6904660600.00,139483491058.00,-1.590632633,99.85433197,85.94788962,2854,95,4.5
Japan,0.902,0,15,8.1,0.335664786,7.349679947,8122082000.00,139483491058.00,-0.323007352,99.95001221,85.94788962,2645,96,2.8
Kuwait,0.899,0,5,16.3,3.341447761,16.14715666,5255140000.00,100251110035.63,9.115547137,96.46424866,94.97264862,2060.248497,99,3.6
Israel,0.898,0,5.5,22.5,3.163047034,19.09337581,7548320000.00,68507000000.00,3.017866948,96.7203064,102.4788132,2910.288637,95,3.9
Luxembourg,0.896,0,11.1,28.3,5.626930814,27,2668916650.00,19245448100.00,20,92.96639252,85.94788962,3000,99,2.5
Belgium,0.895,0,15,39.3,1.646183423,27,4546320900.00,100251110035.63,1.670213311,98.78048706,120,2845,99,4.1
France,0.894,0,16.9,26.2,0.947586471,18.50760465,6766031910.00,139483491058.00,-1.368945919,98.84783936,85.94788962,2654,98,4
Finland,0.893,0,16.2,42.5,-0.631728091,20.99525724,7674664790.00,74360529050.00,-0.29783639,99.43315887,120,2224,98,2.5
Slovenia,0.888,0,15,35.6,3.106280193,25.22948906,3394463635.00,35969403200.00,9.117317338,97.73995209,85.94788962,2160.746701,95,2.5
Spain,0.882,0,8.5,39.7,1.378998287,14.74170633,3589242991.00,139483491058.00,2.449334768,98.93821716,120,2658.270424,97,3.4
Italy,0.881,0,7.9,31.4,0.113671537,10.65765447,4741931958.00,139483491058.00,2.910622648,97.50652313,102.9024582,1733,95,3.6
Czech Republic,0.875,0,13.7,19.5,2.715116132,22.82199791,1543751540.00,139483491058.00,6.130155897,90.66306105,105.5617294,1378.521202,97,3.1
Greece,0.865,0,5,21,0.352849233,24.66307498,6420215380.00,36029717100.00,0.143742452,96.28167725,85.94788962,1743.037533,99,3.9
Brunei Darussalam,0.864,0,5,20.85598308,-2.34974675,16.0230355,3598740000.00,10508833000.00,19.52413095,90.66306105,96.07946777,957.605998,99,10.1
Estonia,0.863,0,15,19,2.822906967,27,1830194740.00,16052398350.00,4.148438615,95.36554718,115.1782227,1248.279632,93,3.3
